ID,NAME,OTHER_NAMES,URL,SCHOOL,COUNTRY,BIG_BOARD_RANK,BIG_BOARD_RANK_t
1641891,Izan Almansa,Izan Almansa,,Perth,Spain,56,#56
1642921,Neoklis Avdalas,Neoklis Avdalas,,Peristeri,Greece,61,#61+
1642846,Ace Bailey,Ace Bailey,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4873138.png&w=350&h=254,Rutgers,USA,3,#3
1642926,Tamar Bates,Tamar Bates,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683933.png&w=350&h=254,Missouri,USA,61,#61+
1642886,Koby Brea,Koby Brea,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4591259.png,Kentucky,USA,50,#50
1641780,Johni Broome,Johni Broome,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433569.png,Auburn,USA,36,#36
1642868,Carter Bryant,Carter Bryant,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5061568.png,Arizona,USA,13,#13
1642891,Miles Byrd,Miles Byrd,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107804.png,San Diego State,USA,44,#44
1642383,Walter Clayton Jr.,Walter Clayton Jr.,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4896372.png,Florida,USA,25,#25
1642363,Nique Clifford,Nique Clifford,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702384.png,Colorado State,USA,20,#20
1642960,Alex Condon,Alex Condon,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5174657.png,Florida,Australia,43,#43
1642907,Cedric Coward,Cedric Coward,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4903027.png,Washington State,USA,31,#31
1642856,Egor Demin,Egor Demin,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5243213.png,Brigham Young,Russia,14,#14
1642915,Eric Dixon,Eric Dixon,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4431718.png,Villanova,USA,52,#52
1642845,VJ Edgecombe,VJ Edgecombe,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5124612.png,Baylor,Bahamas,4,#4
1642847,Jeremiah Fears,Jeremiah Fears,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5144091.png,Oklahoma,USA,6,#6
1642843,Cooper Flagg,Cooper Flagg,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5041939.png&w=350&h=254,Duke,USA,1,#1
1642858,Boogie Fland,Boogie Fland,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5238195.png&w=350&h=254,Arkansas,USA,61,#61+
1642853,Rasheer Fleming,Rasheer Fleming,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105977.png,Saint Joseph's,USA,23,#23
