,Year,Day,Game,Team,#,Player,POS,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BS,+/-,PTS,MARGIN
0,2021,1,2,Visitor,63,Joe Wieskamp,F,22:02,3,7,2,6,0,0,0,0,0,0,2,1,0,2,-17,8,-40
1,2021,1,2,Visitor,62,Trendon Watford,F,22:51,3,10,0,1,3,5,2,0,2,3,3,1,2,0,-10,9,-40
2,2021,1,2,Visitor,87,Ariel Hukporti,C,19:14,3,5,0,1,1,2,0,7,7,0,3,2,2,0,-7,7,-40
3,2021,1,2,Visitor,6,DJ Steward,G,23:58,1,9,0,3,1,2,1,3,4,2,1,1,3,0,-26,3,-40
4,2021,1,2,Visitor,8,Marcus Zegarowski,G,22:32,2,6,1,5,2,2,0,1,1,2,3,1,4,0,-21,7,-40
5,2021,1,2,Visitor,59,Yves Pons,,20:46,3,9,0,2,0,0,0,3,3,1,2,0,2,1,-33,6,-40
6,2021,1,2,Visitor,10,Ochai Agbaji,,22:32,2,7,0,4,0,0,0,2,2,1,2,1,1,0,-35,4,-40
7,2021,1,2,Visitor,25,Scottie Lewis,,22:41,4,11,0,4,1,2,1,3,4,2,7,1,2,0,-24,9,-40
8,2021,1,2,Visitor,30,Daishen Nix,,23:24,0,7,0,3,1,2,0,1,1,6,0,2,2,1,-27,1,-40
9,2021,1,2,Home,3,Josh Christopher,F,24:54,6,12,0,6,4,4,3,7,10,2,4,1,5,1,21,16,40
10,2021,1,2,Home,14,Justin Champagnie,F,23:45,3,9,0,2,5,6,3,9,12,2,3,1,1,0,22,11,40
11,2021,1,2,Home,90,Neemias Queta,C,20:27,6,9,0,0,3,4,5,3,8,0,2,1,0,1,18,15,40
12,2021,1,2,Home,20,Quentin Grimes,G,23:24,5,8,2,4,0,0,2,4,6,3,2,0,4,0,22,12,40
13,2021,1,2,Home,5,Jason Preston,G,23:37,4,6,0,2,2,2,0,4,4,1,0,2,3,1,26,10,40
14,2021,1,2,Home,57,Isaiah Mobley,,22:06,3,8,1,4,1,2,0,4,4,1,1,2,2,0,24,8,40
15,2021,1,2,Home,86,RaiQuan Gray,,23:06,3,9,0,2,1,1,1,2,3,2,1,1,1,1,27,7,40
16,2021,1,2,Home,0,Max Abmas,,22:04,1,8,1,5,2,2,1,4,5,1,1,0,0,0,23,5,40
17,2021,1,2,Home,21,David Johnson,,16:37,3,5,0,2,4,4,2,2,4,4,2,0,3,1,17,10,40
18,2021,1,1,Visitor,17,David Duke Jr.,F,20:40,2,10,0,3,0,0,1,5,6,3,1,1,1,0,8,4,19
19,2021,1,1,Visitor,15,Julian Champagnie,F,23:19,2,6,1,3,4,4,0,2,2,0,1,0,1,0,-3,9,19
20,2021,1,1,Visitor,92,Jericho Sims,C,21:31,5,6,0,0,1,1,1,3,4,2,2,2,2,0,9,11,19
21,2021,1,1,Visitor,32,Joshua Primo,G,23:11,3,8,0,1,1,2,2,4,6,1,1,0,1,0,15,7,19
22,2021,1,1,Visitor,7,McKinley Wright IV,G,22:40,2,7,1,1,0,0,1,4,5,9,2,1,2,0,11,5,19
23,2021,1,1,Visitor,4,Nah'Shon Hyland,,23:04,7,11,3,5,0,0,1,5,6,4,5,1,2,2,14,17,19
24,2021,1,1,Visitor,48,Matt Hurt,,20:27,1,4,0,0,0,0,1,4,5,0,1,0,1,1,12,2,19
25,2021,1,1,Visitor,39,Moses Wright,,22:05,6,10,1,2,1,3,1,4,5,0,2,1,0,1,17,14,19
26,2021,1,1,Visitor,41,A.J. Lawson,,23:03,3,10,1,6,0,0,0,4,4,1,1,0,3,0,12,7,19
27,2021,1,1,Home,40,Aaron Wiggins,F,21:19,1,9,0,5,2,2,2,4,6,1,0,0,4,0,-18,4,-19
28,2021,1,1,Home,46,Sam Hauser,F,20:05,3,7,2,5,0,0,0,2,2,1,2,0,0,1,-7,8,-19
29,2021,1,1,Home,89,Sandro Mamukelashvili,C,23:14,4,10,0,3,1,1,1,5,6,0,1,2,2,0,-10,9,-19
30,2021,1,1,Home,42,Duane Washington Jr.,G,20:23,4,9,1,4,0,0,0,3,3,4,1,0,2,0,-14,9,-19
31,2021,1,1,Home,33,Austin Reaves,G,19:43,1,1,0,0,1,1,0,4,4,1,0,0,0,0,5,3,-19
32,2021,1,1,Home,13,Greg Brown III,,14:41,1,3,0,1,0,0,1,1,2,1,5,0,3,0,-17,2,-19
33,2021,1,1,Home,43,Carlik Jones,,19:37,2,6,0,1,3,4,1,1,2,2,1,1,1,1,-13,7,-19
34,2021,1,1,Home,18,Kessler Edwards,,20:24,0,4,0,3,0,0,0,4,4,1,0,2,1,2,-5,0,-19
35,2021,1,1,Home,52,Johnny Juzang,,20:31,3,10,0,3,0,0,1,1,2,1,2,2,3,0,-5,6,-19
36,2021,1,1,Home,88,Makur Maker,,20:03,3,7,1,3,2,2,0,4,4,1,3,0,2,0,-11,9,-19
37,2021,2,2,Visitor,18,Kessler Edwards,F,21:15,2,4,0,2,2,4,2,5,7,0,3,1,0,3,4,6,-7
38,2021,2,2,Visitor,13,Greg Brown III,F,19:01,5,8,0,2,2,2,2,2,4,0,2,1,2,1,9,12,-7
39,2021,2,2,Visitor,89,Sandro Mamukelashvili,C,21:09,3,7,0,2,6,6,2,6,8,2,1,0,2,0,-1,12,-7
40,2021,2,2,Visitor,52,Johnny Juzang,G,19:28,2,11,1,5,0,0,2,3,5,1,1,1,1,0,3,5,-7
41,2021,2,2,Visitor,43,Carlik Jones,G,20:28,4,11,0,2,1,2,1,3,4,1,1,3,3,0,4,9,-7
42,2021,2,2,Visitor,42,Duane Washington Jr.,,19:32,6,7,2,3,3,4,0,2,2,2,0,0,3,0,-11,17,-7
43,2021,2,2,Visitor,46,Sam Hauser,,20:16,2,10,0,7,0,0,1,2,3,2,0,0,1,1,-13,4,-7
44,2021,2,2,Visitor,33,Austin Reaves,,19:28,2,4,1,3,0,1,1,2,3,3,1,0,0,1,-14,5,-7
45,2021,2,2,Visitor,40,Aaron Wiggins,,20:32,6,7,2,3,0,0,0,0,0,1,3,2,2,0,-10,14,-7
46,2021,2,2,Visitor,88,Makur Maker,,18:51,3,5,0,0,4,4,2,4,6,0,7,0,1,1,-6,10,-7
47,2021,2,2,Home,14,Justin Champagnie,F,25:02,7,13,1,4,2,5,2,6,8,1,1,0,2,1,1,17,7
48,2021,2,2,Home,86,RaiQuan Gray,F,25:14,4,9,0,0,1,2,1,4,5,3,6,0,2,0,7,9,7
49,2021,2,2,Home,57,Isaiah Mobley,C,23:31,7,10,3,5,1,1,1,3,4,1,4,5,1,0,3,18,7
50,2021,2,2,Home,3,Josh Christopher,G,23:53,4,12,1,4,3,4,0,4,4,6,4,3,0,0,17,12,7
51,2021,2,2,Home,0,Max Abmas,G,24:06,2,10,0,6,3,4,0,0,0,2,1,0,2,0,0,7,7
52,2021,2,2,Home,20,Quentin Grimes,,26:56,10,17,7,12,0,0,1,3,4,2,1,1,1,0,8,27,7
53,2021,2,2,Home,90,Neemias Queta,,22:55,3,5,0,0,1,1,2,4,6,2,5,1,1,0,-6,7,7
54,2021,2,2,Home,5,Jason Preston,,28:23,2,5,0,1,0,0,0,3,3,7,0,0,3,0,5,4,7
55,2021,2,1,Visitor,41,A.J. Lawson,F,31:31,6,16,4,10,1,2,0,7,7,7,4,4,1,0,-3,17,10
56,2021,2,1,Visitor,39,Moses Wright,F,26:36,4,8,0,2,0,0,0,5,5,2,3,2,2,2,11,8,10
57,2021,2,1,Visitor,48,Matt Hurt,C,28:13,6,13,2,7,0,0,2,2,4,1,1,1,1,0,17,14,10
58,2021,2,1,Visitor,17,David Duke Jr.,G,26:44,3,6,1,2,1,2,1,3,4,5,3,1,3,0,3,8,10
59,2021,2,1,Visitor,7,McKinley Wright IV,G,30:18,3,4,1,2,1,3,2,3,5,7,0,1,4,0,6,8,10
60,2021,2,1,Visitor,15,Julian Champagnie,,28:57,5,14,3,9,0,0,2,4,6,3,0,2,0,1,10,13,10
61,2021,2,1,Visitor,92,Jericho Sims,,27:41,9,13,0,0,0,1,2,4,6,0,1,0,2,0,6,18,10
62,2021,2,1,Home,63,Joe Wieskamp,F,26:29,10,14,6,7,0,0,2,8,10,0,0,3,2,1,-2,26,-10
